Country,Event,Risk,News
Unknown,General Event,0.4,"Goldman says global equities face correction risks, but bear market unlikely March 4 (Reuters) - Goldman Sachs sees ""correction risks"" to global stocks in the near term due to worries about geopolitics, AI disruption and elevated..."
Unknown,General Event,0.4,"The High-Stakes Fight Between Hegseth and Anthropic Even when companies vow to develop AI responsibly, geopolitics may force them to abandon that commitment."
Unknown,General Event,0.4,Climate change and geopolitics threaten water supplies — but disaster is not inevitable The Indus Waters Treaty withstood several armed conflicts and a huge loss of glaciers. It should serve as a blueprint for others.
Zakarpattia,General Event,0.4,"In Ukraine’s west, Hungarian minority rights collide with wartime politics In Zakarpattia, ordinary life continues as an old dispute between neighbouring nations rocks regional geopolitics."
US,General Event,0.4,"US and Europe must ‘repair and revive transatlantic ties’: Germany’s Merz German leader seeks to set tone of unity at Munich Security Council, as top US diplomat says 'new era in geopolitics'."
US,General Event,0.4,"'I'm tired of this crap:' Lindsey Graham attacks Gulf leaders, compares Iranian leader to Hitler Graham was interviewed alongside Iranian Crown Prince Reza Pahlavi and European Parliament President Roberta Metsola. Republican US Senator Lindsey Graham..."
Taiwan,Military Activity,0.9,"Podcast with Jake Sullivan and Jon Finer Mostly about geopolitics, plenty of fresh content.  And here is the transcript.  Excerpt: Jon Finer: Should the United States be willing to take military action to defend Taiwan? It’s a thorny question for politicians to answer, but we’d be interested in your…"
Unknown,General Event,0.4,"DOJ hides Trump-related Epstein files. And, what to know for the State of the Union An NPR investigation found that the DOJ withheld some Epstein files related to abuse allegations against Trump. And, what you need to know ahead of the president's State of the Union address tonight."
US,General Event,0.4,"How OpenAI caved to the Pentagon on AI surveillance On Friday evening, amidst fallout from a standoff between the Department of Defense and Anthropic, OpenAI CEO Sam Altman announced that his own company had successfully negotiated new terms with the Pentagon. The US government had just moved to blacklist Anth…"
Unknown,General Event,0.4,Trump and Khamenei’s War of Choice The U.S.-Iran conflict grew from a high-stakes exchange of miscalculations between two men.
Nvidia,General Event,0.4,"Veteran analyst sends shocking message on Nvidia after earnings Nvidia (NVDA) just reported another record quarter, but the markets did not react favorably, with NVDA stock falling roughly 5.5% after reporting earnings on..."
Unknown,General Event,0.4,The Risk for Hotel Groups in the Middle East if U.S.-Iran Attacks Escalate Big hotel groups like the Middle East growth story. But geopolitics can turn diversification into concentrated risk overnight. Owners can insure buildings against damage but not traveler confidence
U.S.,General Event,0.4,"Hyatt Sees Limited Impact From Mexico Violence, but Flags ‘Challenging Environment’ Globally Hyatt downplays Mexico violence impact as guests rebook to other resorts. Execs flag volatile geopolitics and mixed U.S. signals for now."
Unknown,General Event,0.4,"Jobs, Geopolitics and Other Key Things to Watch this Week None"
U.S.,Economic Sanction,0.7,How Geopolitics Is Hitting Local Gas Stations Wharton professor explains how U.S. sanctions on a Russian energy company are straining family-run gas station franchisees in the Northeast.…Read More
Unknown,General Event,0.4,"The 21% Surge in Oil Stocks Is Making Analysts Bullish on 2026 The rally stalled on Thursday, as the companies were pulled down in the broader rout, and there’s plenty of uncertainty — about the economy, geopolitics and ..."
Unknown,Military Activity,0.9,OpenAI Leadership Defends Deal With Pentagon as Employees Wait in Limbo Critics are worried OpenAI's technology will be used for mass surveillance and fully autonomous military strikes.
Unknown,General Event,0.4,"Railguns: Making Metal Go Fast Using the Lorentz Force In science fiction, the use of gunpowder-based weapons is generally portrayed as something from a savage past, with technology having long since moved on to more civilized types of destructive …read more"
Unknown,General Event,0.4,"8 romance novels for readers who love science, too Scientific American’s staff recommends eight books that are as full of science as they are of love"
AI,General Event,0.4,"Hollywood’s Fight Against AI Lays Bare Photography’s Weakness by Comparison SAG-AFTRA, the Motion Picture Association, Disney, Warner Bros., NBCUniversal, these are just some of the powerful companies and organizations fighting back against AI video generators, which can now imitate scenes from movies.
[Read More]"
None,General Event,0.4,Investors are now learning a painful lesson: Buying a dip driven by geopolitics isn’t a slam dunk None
Iraq,General Event,0.4,"What the war on Iran changes for everyone The US and Israel’s attack on Iran signals the collapse of diplomatic norms and a new era of force-driven geopolitics, echoing the Iraq war under George W. Bush and deepening instability across the Middle East."
Ukraine,General Event,0.4,"A church under siege in the heart of Europe: How Ukraine’s religious war spills into another country In a Moldovan village, rival Orthodox jurisdictions clash as politics, faith, and geopolitics collide Read Full Article at RT.com"
Unknown,General Event,0.4,"Geopolitics vs. Markets How markets respond to geopolitics.
The post Geopolitics vs. Markets appeared first on A Wealth of Common Sense.
..."
AI,General Event,0.4,Intelligence is a commodity. Context is the real AI Moat My thesis on the AI-first society and the future of software
America,General Event,0.4,"From Iran to Venezuela to New York, Trump wants to control the world's oil Forget Saudi Arabia. Trump is making America the world's most dominant petrostate."
US,General Event,0.4,"Merz, Macron to address Munich Security Conference amid disputes with US Ukrainian President Volodymyr Zelenskyy and US Secretary of State Marco Rubio will also address the conference."
Qatar,General Event,0.4,"Qatar warns Iran war could halt Gulf energy exports ‘within weeks’ Global economies will be affected if the war on Iran continues for weeks, according to Qatar's energy minister."
China,General Event,0.4,Germany’s Merz arrives in China for two-day visit with focus on trade Merz says he wants to deepen trade relationship while making it fairer during visit where several agreements are signed.
Unknown,General Event,0.4,From global jihad to glocal terror: Ex-DGP Anju Gupta on why the threat is now harder to detect Glocal Terror in South Asia: Veteran investigator Anju Gupta maps the new geography of South Asian terror and the limits of state proxies.
Iran,General Event,0.4,"Prof. Schlevogt’s Compass No. 45: The epoch of viral geopolitics – How the Kanzler sloganizes war Merz’s remarks on Iran reveal a deeper habit in Western politics, reducing complex conflicts to moral labels that travel faster than reason Read Full Article at RT.com"
AI,General Event,0.4,"Zazie Beetz Says ‘We Need to Rally the Troops’ Against AI: ‘Get People Mad About It and Do Something’ Zazie Beetz spoke out against the proliferation of AI at the Berlin Film Festival press conference for Gore Verbinski’s new film “Good Luck, Have Fun, Don’t Die,” which tackles the hot topic with humor. The sci-fi adventure, which premieres on Friday night as…"
US,General Event,0.4,"Ram Madhav writes: Rahul Gandhi’s attacks on PM Modi, India-US deal only diminish the Leader of Opposition When the LoP tried to call the Prime Minister “coward”, “vote chor”, “compromised” and “surrendered”, nobody took him seriously. Far from denting PM’s image, the episode once again highlighted the irresponsible and unbecoming behaviour of the LoP"
India,General Event,0.4,"Geopolitics - February 2026 Geopolitics Magazine is dedicated to high quality analysis and commentary on events occurring in India and rest of the world: defence and intelligence; airlines, airport developers; environment, human security and development; happenings and events in diploma…"
Unknown,Military Activity,0.9,"Gold nears one-month high, set for seventh straight monthly rise Gold surged to a near one-month high, nearing its seventh consecutive monthly gain. Geopolitical tensions, particularly concerning U.S.-Iran nuclear talks and potential military action, fueled a flight to safety. Lower U.S. Treasury yields further bolstered b…"
US,General Event,0.4,"A new poll shows just how quickly Israel has lost America’s sympathy For the first time, a Gallup survey found more Americans sympathize with Palestinians than Israelis in the long-running Middle East conflict, a watershed moment in relations between the US and one of its closest — but most controversial — allies.  New polling…"
France,General Event,0.4,"Germany’s “Two-Speed Europe” Proposal Is the EU’s Adaptation to Great Power Geopolitics German Finance Minister Lars Klingbeil recently declared that 
“Now is the time for a two-speed Europe. Germany, together with France and other partners, will therefore now take the lead in making Europe stronger and more independent. As the six biggest …
The…"
